ID,area_type,availability,location,size,society,total_sqft,bath,balcony,price,dist_from_city
8853,Built-up  Area,Ready To Move,HAL Layout,3 BHK,Unknown,1675,3.0,2.0,65.0,17.3
8854,Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,Unknown,708,2.0,1.0,32.0,20.9
8855,Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,1123,2.0,1.0,36.0,19.6
8856,Super built-up  Area,Ready To Move,Talaghattapura,2 BHK,Unknown,1100,2.0,1.0,49.49,17.1
8857,Super built-up  Area,Ready To Move,Upkar Layout,2 BHK,DSstaen,1225,2.0,2.0,71.05,17.2
8858,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1683,3.0,1.0,140.0,21.4
8859,Super built-up  Area,Ready To Move,Kengeri Satellite Town,1 BHK,Unknown,410,1.0,1.0,15.0,16.9
8860,Plot  Area,Ready To Move,Banashankari Stage II,3 Bedroom,Unknown,2400,2.0,2.0,300.0,9.5
8861,Plot  Area,Ready To Move,Kenchenhalli,4 Bedroom,Unknown,1350,4.0,1.0,90.0,17.3
8862,Super built-up  Area,Ready To Move,Gubbalala,2 BHK,MauilTr,1475,2.0,2.0,80.0,15.4
8863,Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,ShyamSh,1120,2.0,2.0,49.0,16.9
8864,Super built-up  Area,Ready To Move,KR Puram,2 BHK,Apntsal,1150,2.0,1.0,42.0,11.9
8865,Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1165,2.0,1.0,85.0,13.4
8866,Super built-up  Area,Ready To Move,Harlur,3 BHK,Unknown,1756,3.0,2.0,134.0,16.1
8867,Super built-up  Area,Ready To Move,Ambedkar Nagar,2 BHK,SoechHa,1409,2.0,2.0,95.0,18.9
8868,Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neisei ,1212,2.0,1.0,56.9,10.3
8869,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,VBpleMa,1140,2.0,2.0,26.49,19.6
8870,Super built-up  Area,19-Sep,Hegde Nagar,3 BHK,SoisoCa,2087.01,3.0,2.0,115.0,13.7
8871,Super built-up  Area,Ready To Move,Jalahalli East,1 BHK,ShshaSa,750 - 800,1.0,0.0,34.1,15.8
8872,Super built-up  Area,18-Apr,Sarjapur  Road,3 BHK,PualeSk,1700,3.0,1.0,118.0,17.2
8873,Super built-up  Area,Ready To Move,Carmelaram,3 BHK,DSensn ,1660 - 1805,3.0,0.0,91.855,18.8
8874,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Unknown,1110,2.0,1.0,52.0,15.3
8875,Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1000,2.0,1.0,28.88,19.3
8876,Plot  Area,Ready To Move,Marathahalli,7 Bedroom,Unknown,1550,7.0,3.0,160.0,10.9
8877,Built-up  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2704,5.0,0.0,105.0,34.6
8878,Plot  Area,Ready To Move,Vidya Nagar,2 Bedroom,Unknown,3760,2.0,0.0,280.0,17.3
8879,Plot  Area,Ready To Move,Hormavu,5 Bedroom,Unknown,1600,5.0,2.0,140.0,11.9
8880,Super built-up  Area,19-Dec,Bhoganhalli,2 BHK,Rosha I,1205,2.0,2.0,64.47,15.3
8881,Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Unknown,1418,2.0,2.0,105.0,15.0
8882,Built-up  Area,Ready To Move,Ardendale,3 BHK,Mahtsba,1650,3.0,3.0,82.0,23.1
8883,Plot  Area,Ready To Move,MS Pallya,7 Bedroom,Unknown,1200,7.0,2.0,139.0,17.0
8884,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Music C,1150,2.0,1.0,38.0,18.1
8885,Super built-up  Area,Ready To Move,Byadarahalli,3 BHK,HMriast,3071,4.0,1.5817572892040976,300.0,21.7
8886,Built-up  Area,Ready To Move,Dasanapura,4 Bedroom,Unknown,2400,5.0,2.0,100.0,29.2
8887,Built-up  Area,Ready To Move,Singapura Village,2 BHK,Juoryma,850,2.0,0.0,34.0,17.6
8888,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,NaonySy,1580,3.0,1.0,83.74,15.3
8889,Super built-up  Area,18-Dec,Whitefield,2 BHK,Prtates,1216,2.0,1.0,84.03,17.3
8890,Carpet  Area,20-Dec,Kanakpura Road,1 BHK,Roiti A,381,1.0,1.0,28.0,26.5
8891,Built-up  Area,18-Feb,KR Puram,9 BHK,Unknown,4600,9.0,2.0,200.0,11.9
8892,Super built-up  Area,Ready To Move,Hebbal,2 BHK,Unknown,1040,2.0,1.0,55.0,11.1
8893,Built-up  Area,18-Apr,Choodasandra,4 Bedroom,LGifeew,2429,3.0,1.0,210.0,16.8
8894,Super built-up  Area,Ready To Move,Akshaya Vana,3 BHK,Rainet ,1260,2.0,1.0,49.0,14.2
8895,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1498,3.0,2.0,74.9,26.5
8896,Super built-up  Area,Ready To Move,Vidyaranyapura,3 BHK,Unknown,1200,2.0,2.0,65.0,18.0
8897,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1355,2.0,1.0,72.9,18.1
8898,Built-up  Area,Ready To Move,Canara Bank Layout,3 BHK,Fosic C,1450,3.0,1.0,65.0,17.3
8899,Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,Unknown,1860,3.0,2.0,168.0,13.4
8900,Built-up  Area,Ready To Move,Whitefield,2 BHK,Unknown,1240,2.0,2.0,70.0,17.3
8901,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,NevenLi,1300,2.0,2.0,55.0,26.5
8902,Plot  Area,Ready To Move,Kundalahalli,4 Bedroom,Roima A,2500,5.0,2.0,245.0,17.4
8903,Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,1950,4.0,2.0,120.0,18.9
8904,Super built-up  Area,Ready To Move,Ambalipura,3 BHK,Maorai ,1625,2.0,2.0,145.0,13.7
8905,Super built-up  Area,18-Jul,Electronic City,2 BHK,Unknown,1200,2.0,2.0,30.0,18.1
8906,Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,Unknown,1101,2.0,2.0,66.0,7.7
8907,Super built-up  Area,18-Mar,Whitefield,2 BHK,Prtates,1216,2.0,1.0,72.5,17.3
8908,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Unknown,1250,2.0,3.0,50.0,12.9
8909,Plot  Area,Ready To Move,Samethanahalli,3 Bedroom,Unknown,2100,3.0,0.0,70.0,21.7
8910,Built-up  Area,Ready To Move,Ananth Nagar,3 BHK,VmlleRo,1470,3.0,2.0,54.0,21.6
8911,Super built-up  Area,22-Dec,Bannerghatta Road,3 BHK,PrarePa,1365,3.0,1.0,76.18,18.8
8912,Super built-up  Area,18-Jul,Hosa Road,2 BHK,Mahesr ,1364,2.0,1.0,64.79,15.7
8913,Super built-up  Area,20-Dec,Banashankari Stage VI,2 BHK,Brens7 ,1180,2.0,1.0,59.47,14.9
8914,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,BriumMi,1800,3.0,2.0,130.0,11.0
8915,Super built-up  Area,Ready To Move,Kothannur,2 BHK,Unknown,1350,2.0,2.0,42.0,11.8
8916,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy ,1573,3.0,2.0,98.0,11.5
8917,Super built-up  Area,Ready To Move,Nallurhalli,3 BHK,Adevo S,1620,3.0,3.0,95.0,16.5
8918,Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,Unknown,1072,2.0,1.0,42.87,14.3
8919,Built-up  Area,Ready To Move,Bagalakunte,1 BHK,Unknown,560,1.0,1.0,21.0,18.2
8920,Super built-up  Area,Ready To Move,Coconut Grove Layout,2 BHK,Srarkav,1156,2.0,2.0,46.0,10.2
8921,Built-up  Area,18-Dec,Kudlu Gate,2 BHK,Unknown,1336,2.0,1.0,86.0,11.8
8922,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,1200,2.0,1.0,20.0,18.1
8923,Super built-up  Area,Ready To Move,Marathahalli,4 BHK,Asintas,3400,4.0,3.0,235.0,10.9
8924,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1608,3.0,3.0,54.51,15.3
8925,Super built-up  Area,18-Dec,JP Nagar,4 BHK,Pehtsa ,4000,4.0,3.0,441.0,9.9
8926,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1215,2.0,2.0,40.0,17.3
8927,Built-up  Area,Ready To Move,Cox Town,2 BHK,Unknown,1100,2.0,1.0,166.0,4.8
8928,Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soinequ,1517,3.0,3.0,100.0,16.9
8929,Super built-up  Area,Ready To Move,Mallasandra,2 BHK,Unknown,1565,2.0,2.0,69.0,18.4
8930,Plot  Area,Ready To Move,Palace Guttahalli,6 Bedroom,Unknown,1680,4.0,1.0,250.0,17.3
8931,Super built-up  Area,Ready To Move,Whitefield,3 BHK,UKe 2nz,2025,4.0,2.0,115.0,17.3
8932,Super built-up  Area,19-Jun,Jalahalli,2 BHK,DSata S,1057,2.0,1.0,34.71,16.6
8933,Super built-up  Area,Ready To Move,Sadashiva Nagar,3 BHK,Unknown,3850,3.0,3.0,650.0,6.7
8934,Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Peles P,1044,2.0,2.0,34.0,17.2
8935,Built-up  Area,Ready To Move,Domlur,3 BHK,Srhida ,1695,3.0,2.0,125.0,5.4
8936,Super built-up  Area,18-Jun,Ramagondanahalli,3 BHK,ViistLa,1635,3.0,1.0,61.0,15.4
8937,Super built-up  Area,Ready To Move,Hiremath Layout,2 BHK,Unknown,1140,2.0,2.0,56.0,10.7
8938,Built-up  Area,Ready To Move,Electronic City,2 BHK,Itvir M,1150,2.0,2.0,35.0,18.1
8939,Built-up  Area,Ready To Move,Yelachenahalli,2 BHK,PuontBe,1110,2.0,2.0,110.0,11.5
8940,Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1163,2.0,2.0,64.08,13.4
8941,Super built-up  Area,Ready To Move,Thubarahalli,3 BHK,Soowsa ,1418,2.0,2.0,65.0,13.5
8942,Built-up  Area,18-Apr,Varthur,2 BHK,Uptusol,1155,2.0,1.0,60.0,17.4
8943,Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,PrarePa,1115,2.0,2.0,78.0,18.8
8944,Built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Betatsi,2250,3.0,1.5817572892040976,180.0,17.3
8945,Super built-up  Area,Ready To Move,NGR Layout,2 BHK,Unknown,1020,2.0,2.0,48.45,8.6
8946,Super built-up  Area,Ready To Move,Naidu Layout,3 BHK,Unknown,1485,3.0,2.0,78.0,17.3
8947,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Unknown,1920,5.0,2.0,250.0,17.3
8948,Plot  Area,Ready To Move,Shingapura,1 Bedroom,Unknown,1350,2.0,0.0,45.0,17.3
8949,Super built-up  Area,Ready To Move,8th block Koramangala,2 BHK,Unknown,1209,2.0,2.0,100.0,5.4
8950,Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,MBodsen,1089,2.0,1.0,43.55,14.5
8951,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Shana S,1445,2.0,2.0,82.0,20.8
8952,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Unknown,1250,2.0,2.0,50.0,12.9
8953,Super built-up  Area,18-Jan,SHANTHINAGAR,3 BHK,Unknown,1500,3.0,1.0,95.0,17.3
8954,Super built-up  Area,Ready To Move, Devarachikkanahalli,3 BHK,Wiaysld,1705,3.0,2.0,75.0,12.0
8955,Super built-up  Area,Ready To Move,Indira Nagar,3 BHK,Gonorir,2200,3.0,2.0,160.0,3.7
8956,Plot  Area,Ready To Move,Cunningham Road,5 Bedroom,Unknown,2925,5.0,3.0,936.0,4.3
8957,Plot  Area,Ready To Move,Laggere,8 Bedroom,Unknown,1800,8.0,1.0,110.0,15.7
8958,Built-up  Area,Ready To Move,Whitefield,5 Bedroom,Chpana ,7200,5.0,2.0,900.0,17.3
8959,Super built-up  Area,Ready To Move,Bellandur,3 BHK,OriewLa,1830,3.0,1.5817572892040976,90.0,12.9
8960,Super built-up  Area,18-Dec,Electronics City Phase 1,3 BHK,Shitt S,1450,3.0,2.0,58.0,20.3
8961,Super built-up  Area,Ready To Move,Choodasandra,3 BHK,GRhtiru,1220,3.0,2.0,56.0,16.8
8962,Super built-up  Area,Ready To Move,Hoodi,2 BHK,Keers S,1259,2.0,2.0,69.45,13.3
8963,Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Mayne A,1260,2.0,1.0,73.0,16.0
8964,Built-up  Area,Ready To Move,Kaggadasapura,3 Bedroom,Unknown,2500,5.0,1.0,120.0,8.9
8965,Built-up  Area,18-Dec,Kudlu Gate,3 BHK,Unknown,1919,3.0,2.0,121.0,11.8
8966,Plot  Area,Ready To Move,Vishveshwarya Layout,6 Bedroom,Unknown,1400,6.0,3.0,160.0,15.4
8967,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,ChionCo,2050,3.0,1.5817572892040976,120.0,14.4
8968,Built-up  Area,Ready To Move,Basavangudi,2 BHK,Unknown,1050,2.0,1.0,103.0,7.1
8969,Super built-up  Area,Ready To Move,Bhuvaneshwari Nagar,2 BHK,Unknown,1000,2.0,2.0,60.0,13.4
8970,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,NaonySy,1640,3.0,1.0,86.8,15.3
8971,Built-up  Area,Ready To Move,Kumarapalli,3 BHK,BMmesHo,1488,2.0,2.0,65.0,13.2
8972,Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,Unknown,1265,2.0,2.0,53.12,12.1
8973,Built-up  Area,Ready To Move,Hennur,3 BHK,Bront A,1640,3.0,2.0,120.0,10.0
8974,Super built-up  Area,Ready To Move,9th Phase JP Nagar,3 BHK,HMigond,1719.3,2.0,2.0,88.0,15.8
8975,Plot  Area,Ready To Move,Someshwara Layout,4 Bedroom,Unknown,1200,4.0,2.0,130.0,17.3
8976,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Chsilut,1180,2.0,2.0,70.0,8.9
8977,Super built-up  Area,Ready To Move,HBR Layout,3 BHK,Visom B,1700,3.0,1.0,110.0,8.8
8978,Super built-up  Area,Ready To Move,Kudlu Gate,2 BHK,Unknown,1464,3.0,3.0,56.0,11.8
8979,Built-up  Area,Ready To Move,JP Nagar,6 Bedroom,Unknown,1800,6.0,0.0,68.0,9.9
8980,Built-up  Area,Ready To Move,Cox Town,4 Bedroom,Unknown,1495,2.0,1.0,300.0,4.8
8981,Built-up  Area,15-Aug,Yelahanka,2 BHK,Velas V,1225,2.0,2.0,62.0,20.8
8982,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1050,2.0,0.0,68.0,11.0
8983,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691,3.0,3.0,120.0,17.2
8984,Built-up  Area,Ready To Move,Doopanahalli,3 BHK,Unknown,2250,3.0,2.0,199.0,4.2
8985,Super built-up  Area,Ready To Move,Munivenkatppa Layout,4 BHK,SNiew L,3700,4.0,2.0,314.0,9.9
8986,Plot  Area,Ready To Move,Jalahalli,8 Bedroom,Unknown,1244,6.0,2.0,130.0,16.6
8987,Plot  Area,Ready To Move,Jay an agar 4 T Block,4 Bedroom,Unknown,750,4.0,2.0,120.0,17.3
8988,Super built-up  Area,18-Apr,Satyasaibaba Layout,2 BHK,Unknown,1190,2.0,3.0,42.25,17.3
8989,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243,2.0,2.0,46.0,14.9
8990,Super built-up  Area,Ready To Move,Hormavu,2 BHK,Unknown,765,2.0,1.0,37.49,11.9
8991,Super built-up  Area,Ready To Move,Chamrajpet,2 BHK,Unknown,730,1.0,2.0,52.0,6.7
8992,Built-up  Area,Ready To Move,Queens Road,3 BHK,DRnerns,1405,3.0,0.0,169.0,17.3
8993,Super built-up  Area,20-Dec,Old Madras Road,3 BHK,SheldGr,1350,3.0,1.0,45.9,4.7
8994,Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,KHatsFl,500,1.0,1.0,18.0,21.5
8995,Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,SuaveRa,1200,2.0,2.0,55.0,14.4
8996,Built-up  Area,18-Dec,Electronic City,2 BHK,Unknown,1165,2.0,1.0,33.64,18.1
8997,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Unknown,1400,2.0,2.0,57.0,11.0
8998,Plot  Area,Ready To Move,Vaishnavi Layout,4 Bedroom,Prsisge,4800,6.0,2.0,420.0,17.3
8999,Built-up  Area,Ready To Move,Hormavu,3 BHK,SyidaCr,1668,2.0,1.5817572892040976,120.0,11.9
9000,Super built-up  Area,Ready To Move,Kenchenahalli,1 BHK,AriosPa,700,1.0,1.0,35.0,21.8
9001,Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,MBncele,1485,2.0,1.0,66.0,10.9
9002,Super built-up  Area,20-Oct,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,41.0,26.5
9003,Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,1346,2.0,1.0,100.0,17.3
9004,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,47.0,38.4
9005,Super built-up  Area,Ready To Move,Bellari Road,2 BHK,Unknown,1050,2.0,1.0,43.5,16.1
9006,Super built-up  Area,Ready To Move,1st Block Koramangala,3 BHK,LuncyRe,1800,3.0,2.0,53.0,9.8
9007,Super built-up  Area,Ready To Move,Electronic City,3 BHK,SJityVe,1609,3.0,3.0,115.0,18.1
9008,Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1.0,1.0,35.0,18.1
9009,Built-up  Area,Ready To Move,Kudlu,2 BHK,Unknown,1076,2.0,1.0,50.0,13.4
9010,Super built-up  Area,Ready To Move,Kengeri,2 BHK,Unknown,1052,2.0,2.0,51.0,22.5
9011,Super built-up  Area,18-Apr,Channasandra,2 BHK,Evanaan,1000,2.0,2.0,35.0,19.6
9012,Built-up  Area,18-Aug,Bommasandra Industrial Area,2 BHK,Unknown,1000,2.0,1.0,28.88,21.6
9013,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Pronyt ,1262,2.0,1.0,83.0,11.5
9014,Plot  Area,Ready To Move,Koppa,3 Bedroom,Unknown,720,3.0,1.0,48.0,17.3
9015,Super built-up  Area,Ready To Move,Harsha Layout,1 BHK,Unknown,500,1.0,1.0,16.0,17.2
9016,Super built-up  Area,Ready To Move,Sadashiva Nagar,4 BHK,Unknown,3500,4.0,1.5817572892040976,700.0,6.7
9017,Built-up  Area,Ready To Move,Shanthala Nagar,3 BHK,Sphts H,1600,3.0,2.0,180.0,2.0
9018,Super built-up  Area,18-May,Ramagondanahalli,2 BHK,ViistLa,1251,2.0,1.0,53.0,15.4
9019,Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,Unknown,1050,3.0,1.0,175.0,17.0
9020,Super built-up  Area,Ready To Move,Nyanappana Halli,2 BHK,MyigePr,1140,2.0,2.0,49.0,17.3
9021,Super built-up  Area,18-May,Old Madras Road,2 BHK,Saesttt,1157,2.0,2.0,47.32,4.7
9022,Super built-up  Area,18-Jun,RR Nagar,1 BHK,Unknown,648,1.0,1.0,34.0,17.3
9023,Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1197,2.0,1.0,78.0,16.1
9024,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1500,3.0,3.0,51.04,15.3
9025,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1185,2.0,1.0,51.15,15.3
9026,Built-up  Area,Ready To Move,Kumaraswami Layout,3 Bedroom,Unknown,2400,2.0,1.0,125.0,12.2
9027,Super built-up  Area,18-Aug,Kundalahalli,3 BHK,Dieldli,1397,3.0,3.0,105.0,17.4
9028,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Unknown,1175,2.0,2.0,47.0,12.9
9029,Built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,Unknown,900,2.0,1.0,60.0,10.9
9030,Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,NRniad ,2710,3.0,2.0,170.0,13.0
9031,Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,Skarkev,1720,2.0,2.0,126.0,14.2
9032,Super built-up  Area,Ready To Move,Cambridge Layout,3 BHK,Bhacy L,1756,3.0,2.0,307.0,1.9
9033,Super built-up  Area,Ready To Move,Yelahanka,1 BHK,Prensya,602,1.0,1.0,38.0,20.8
9034,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Contsci,1770,3.0,2.0,180.0,17.2
9035,Plot  Area,Ready To Move,Kothannur,6 Bedroom,Unknown,930,6.0,1.0,150.0,11.8
9036,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295,2.0,2.0,43.9,15.3
9037,Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,Unknown,1200,2.0,2.0,46.5,13.0
9038,Built-up  Area,Ready To Move,Hagadur,2 BHK,SSoraba,1100,2.0,2.0,45.0,17.3
9039,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Unknown,1194,2.0,2.0,46.0,14.9
9040,Super built-up  Area,Ready To Move,Marsur,3 BHK,Asara S,720,2.0,1.0,32.0,27.5
9041,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMonymp,1476,3.0,0.0,105.0,15.0
9042,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1056,2.0,2.0,65.0,11.5
9043,Super built-up  Area,Ready To Move,Singapura Village,2 BHK,Juoryma,825,2.0,1.0,35.0,17.6
9044,Super built-up  Area,18-Apr,EPIP Zone,3 BHK,BrontLa,1860,3.0,2.0,130.0,14.6
9045,Super built-up  Area,Ready To Move,Gunjur,2 BHK,DSoodSh,1063,2.0,2.0,40.0,18.5
9046,Super built-up  Area,Ready To Move,Yelahanka,1 BHK,Prensya,697,1.0,1.0,35.0,20.8
9047,Built-up  Area,Ready To Move,Vijayanagar,1 Bedroom,Unknown,2400,2.0,0.0,230.0,11.1
9048,Plot  Area,19-Jan,Anekal,2 Bedroom,Unknown,1200,1.0,1.0,36.0,34.2
9049,Built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Satlea ,1835,3.0,2.0,160.0,7.2
9050,Super built-up  Area,22-Dec,Bannerghatta Road,3 BHK,PrarePa,1365 - 1700,3.0,0.0,79.465,18.8
9051,Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,MaeamSu,1147,2.0,1.0,75.0,10.0
9052,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Unknown,1360,2.0,2.0,47.59,12.9
9053,Plot  Area,Ready To Move,Kothanur,4 Bedroom,Fencyes,3400,5.0,0.0,265.0,11.8
9054,Built-up  Area,Ready To Move,Hosakerehalli Layout,2 BHK,Unknown,1080,2.0,3.0,64.0,17.3
9055,Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,Unknown,1010,2.0,1.0,40.4,14.3
9056,Plot  Area,Ready To Move,Shanti Nagar,4 Bedroom,Unknown,2600,4.0,2.0,523.0,3.7
9057,Super built-up  Area,Ready To Move,Brookefield,2 BHK,Roeekbl,1270,2.0,1.0,95.0,15.1
9058,Super built-up  Area,Ready To Move,Basapura,2 BHK,Krtiqa ,1100,2.0,1.0,61.0,14.4
9059,Super built-up  Area,Ready To Move,Bellandur,2 BHK,Krala D,1410,3.0,2.0,92.0,12.9
9060,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Ulure S,1065,2.0,1.0,41.38,20.8
9061,Plot  Area,19-Jan,Anekal,2 Bedroom,Unknown,1200,1.0,1.0,36.0,34.2
9062,Super built-up  Area,Ready To Move,Hebbal,3 BHK,Viave E,1315,3.0,3.0,65.0,11.1
9063,Super built-up  Area,Ready To Move,Indira Nagar,3 BHK,MCtleas,1650,3.0,2.0,200.0,3.7
9064,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1140,2.0,2.0,43.0,14.9
9065,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Gincyi ,960,2.0,1.0,45.0,8.9
9066,Super built-up  Area,Ready To Move,Hosapalya,2 BHK,Viise P,800,1.0,1.0,29.0,17.3
9067,Super built-up  Area,Ready To Move,Doctors Layout,2 BHK,Unknown,1225,2.0,1.0,47.0,11.4
9068,Built-up  Area,Ready To Move,Whitefield,2 BHK,Rallsdr,1020,2.0,2.0,45.0,17.3
9069,Super built-up  Area,Ready To Move,Magadi Road,2 BHK,Jaaveha,750,2.0,1.0,27.0,21.7
9070,Plot  Area,Ready To Move,2nd Block Koramangala,3 Bedroom,Unknown,3000,3.0,1.0,550.0,17.3
9071,Super built-up  Area,Ready To Move, Mysore Highway,1 BHK,Unknown,535,1.0,1.0,35.0,17.5
9072,Super built-up  Area,Ready To Move,Varthur,2 BHK,DSingSt,1035,2.0,1.0,60.0,17.4
9073,Built-up  Area,18-Aug,Bommasandra Industrial Area,2 BHK,Unknown,1020,2.0,1.0,29.45,21.6
9074,Super built-up  Area,Ready To Move,GM Palaya,3 BHK,MSuntra,1315,3.0,0.0,64.0,7.9
9075,Super built-up  Area,Ready To Move,Basavangudi,3 BHK,Unknown,1350,2.0,2.0,130.0,7.1
9076,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,48.0,38.4
9077,Super built-up  Area,Ready To Move,Kengeri Satellite Town,3 BHK,ShyamSh,1450,2.0,3.0,50.0,16.9
9078,Plot  Area,Ready To Move,Gottigere,1 Bedroom,Unknown,1806,1.0,1.0,150.0,15.2
9079,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Asintas,1350,2.0,1.0,99.0,10.9
9080,Plot  Area,20-Dec,Binny Pete,3 Bedroom,Shestlo,1282,3.0,2.0,178.0,8.6
9081,Super built-up  Area,18-Apr,Sarjapur  Road,3 BHK,PualeSk,1929,3.0,1.0,103.0,17.2
9082,Super built-up  Area,Ready To Move,Varthur,2 BHK,Unris E,1100,2.0,2.0,72.0,17.4
9083,Built-up  Area,Ready To Move,Kundalahalli,3 BHK,Unknown,1800,3.0,2.0,110.0,17.4
9084,Super built-up  Area,Ready To Move,Gubbalala,2 BHK,Unknown,1223,2.0,1.0,42.81,15.4
9085,Super built-up  Area,Ready To Move,Bharathi Nagar,3 BHK,ReudePr,1664,3.0,2.0,69.89,14.3
9086,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Unknown,1360,2.0,2.0,47.59,12.9
9087,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Ocrda M,1158,2.0,2.0,67.0,15.0
9088,Super built-up  Area,Ready To Move,Hormavu,3 BHK,VMityre,1420,3.0,2.0,58.0,11.9
9089,Super built-up  Area,18-Aug,Rajaji Nagar,2 BHK,ProdsWe,1268,2.0,1.0,127.0,9.6
9090,Super built-up  Area,18-May,Sarjapur  Road,2 BHK,SJityaz,1308,2.0,1.0,75.0,17.2
9091,Built-up  Area,Ready To Move,Basavangudi,3 BHK,Unknown,1485,3.0,1.0,140.0,7.1
9092,Super built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,Unknown,1067,2.0,3.0,33.99,26.9
9093,Built-up  Area,Ready To Move,Hulimavu,4 Bedroom,Omaveai,2000,4.0,0.0,100.0,15.0
